"school_code","school_name","school_lvl","elementary","middle","high","alternative"
282,"Lush Elementary School","Elem",1,0,0,0
285,"Spring Hill Elementary School","Elem",1,0,0,0
288,"Fircrest Elementary School","Elem",1,0,0,0
291,"Bloomfield Elementary School","Elem",1,0,0,0
295,"Lawrence Elementary School","Elem",1,0,0,0
297,"St. Helena Elementary School","Elem",1,0,0,0
300,"Sutherland Elementary School","Elem",1,0,0,0
303,"Kahan Elementary School","Elem",1,0,0,0
305,"Fernando J. Corbato Elementary School","Elem",1,0,0,0
307,"Willets Elementary School","Elem",1,0,0,0
309,"Milner Elementary School","Elem",1,0,0,0
310,"Lampson Elementary School","Elem",1,0,0,0
312,"Hartmanis Stearns Elementary School","Elem",1,0,0,0
315,"Feigenbaum Elementary School","Elem",1,0,0,0
317,"Reddy Elementary School","Elem",1,0,0,0
321,"Blum Elementary School","Elem",1,0,0,0
324,"Pnueli Elementary School","Elem",1,0,0,0
405,"Birch Middle School","Mid",0,1,0,0
407,"Apple Middle School","Mid",0,1,0,0
410,"Cypress Middle School","Mid",0,1,0,0
413,"Magnolia Middle School","Mid",0,1,0,0
415,"Chestnut Middle School","Mid",0,1,0,0
416,"Elm Middle School","Mid",0,1,0,0
418,"Maple Middle School","Mid",0,1,0,0
420,"Buckeye Middle School","Mid",0,1,0,0
425,"Fir Middle School","Mid",0,1,0,0
427,"Cottonwood Middle School","Mid",0,1,0,0
430,"Forest Middle School","Mid",0,1,0,0
435,"Redwood Middle School","Mid",0,1,0,0
440,"Witchhazel Middle School","Mid",0,1,0,0
445,"Pine Middle School","Mid",0,1,0,0
448,"Elderberry Middle School","Mid",0,1,0,0
450,"Palm Middle School","Mid",0,1,0,0
452,"Orange Middle School","Mid",0,1,0,0
455,"Willow Middle School","Mid",0,1,0,0
457,"Oak Middle School","Mid",0,1,0,0
460,"Spruce Middle School","Mid",0,1,0,0
465,"Holly Middle School","Mid",0,1,0,0
470,"Cedar Middle School","Mid",0,1,0,0
475,"Poplar Middle School","Mid",0,1,0,0
480,"Cherry Middle School","Mid",0,1,0,0
485,"Dogwood Middle School","Mid",0,1,0,0
490,"Hickory Middle School","Mid",0,1,0,0
492,"Anchor Middle School","Mid",0,1,0,0
511,"Night School","",0,0,0,1
513,"Summer School","",0,0,0,0
514,"North High School","High",0,0,1,0
515,"Camino High School","High",0,0,1,0
516,"Generations Academy","High",0,0,1,0
520,"Upland High School","High",0,0,1,0
525,"Orchard High School","High",0,0,1,0
530,"South High School","High",0,0,1,0
540,"River High School","High",0,0,1,0
549,"Brighter Tomorrow High School","High",0,0,1,1
550,"White Sands High School","High",0,0,1,0
560,"Peak High School","High",0,0,1,0
570,"West Spring Hill High School","High",0,0,1,0
575,"Grand View High School","High",0,0,1,0
576,"Heritage High School","High",0,0,1,0
580,"Central High School","High",0,0,1,0
590,"City High School","High",0,0,1,0
592,"Career Enrichment Center","",0,0,0,1
594,"Great Plains Alternative High School","High",0,0,1,1
596,"Liberty High School","High",0,0,1,1
597,"Travelling High School","High",0,0,1,1
800,"District Headquarters","",0,0,0,0
840,"New Visions Alternative Middle School","Mid",0,1,0,1
900,"Family Elementary School","Elem",1,0,0,1
